Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2000","2000","An","3041560","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2001","2001","An","3037760","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2002","2002","An","2891260","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2003","2003","An","2778077","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2004","2004","An","2738648","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2005","2005","An","2698649","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2006","2006","An","2669076","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2007","2007","An","2649392","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2008","2008","An","2605532","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2009","2009","An","2600453","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2010","2010","An","2593000","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2011","2011","An","2560319","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2012","2012","An","2484272","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2013","2013","An","2454704","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2014","2014","An","2477236","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2015","2015","An","2503262","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2016","2016","An","2501349","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2017","2017","An","2385988","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2018","2018","An","2398090","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2019","2019","An","2373100","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2020","2020","An","2335440","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2021","2021","An","2310440","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2022","2022","An","2286110","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2023","2023","An","2245710","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2000","2000","1000 An","39729","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2001","2001","1000 An","38529","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2002","2002","1000 An","37928","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2003","2003","1000 An","32032","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2004","2004","1000 An","36506","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2005","2005","1000 An","35569","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2006","2006","1000 An","32867","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2007","2007","1000 An","32750","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2008","2008","1000 An","32493","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2009","2009","1000 An","33240","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2010","2010","1000 An","34375","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2011","2011","1000 An","35376","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2012","2012","1000 An","35618","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2013","2013","1000 An","36219","A","Official figure",""
